# NHTSA vPIC World Manufacturer Identifier table, retrieved 2026-09-21.
# Regenerate with: go run ./tools/wmi-import
# Left out because they cannot appear in a VIN: 1OY, 4OG
wmi,manufacturer_id,manufacturer,make,vehicle_type,country
13Y,17222,"STARLITE TRAILERS, INC",STARLITE TRAILERS,Trailer,UNITED STATES (USA)
13Z,17020,"PARKER TRAILER SALES, INC",PARK,Trailer,
141,16170,KARI-KOOL,KARI-KOOL,Trailer,UNITED STATES (USA)
143,15662,"ZOE MOTORS, INC",ZOE MOTORS,Motorcycle,UNITED STATES (USA)
145,15105,"HYUNDAI STEEL INDUSTRIES, INC.","HYUNDAI STEEL INDUSTRIES, INC.",Trailer,UNITED STATES (USA)
148,15379,"TRANSGLOBAL INDUSTRIES, INC",TRANSGLOBAL INDUSTRIES,Trailer,UNITED STATES (USA)
149002,4394,4 STAR FABRICATION,,Trailer,UNITED STATES (USA)
149004,4398,"4X4 TRAILERS, LTD.",,Trailer,UNITED STATES (USA)
14D,13425,CHILTON MANUFACTURING CORPORATION,CHILTON MANUFACTURING CORP.,Trailer,UNITED STATES (USA)
14J,2303,"TRINITY INDUSTRIES, INC.",TRINITY INDUSTRIES,Trailer,UNITED STATES (USA)
14K,12507,INTERSTATE MANUFACTURING CO,INTERSTATE MANUFACTURING,Trailer,UNITED STATES (USA)
14V,11517,WESTERN GOLF CAR MANUFACTURING INC,"WESTERN, EZGO, WESTERN LIDO",Low Speed Vehicle (LSV),UNITED STATES (USA)
14X,1838,GENERAL AUTOMOTIVE CORPORATION,GENERAL AUTOMOTIVE CORPORATION,Incomplete Vehicle,UNITED STATES (USA)
14Y,13661,TM MARINE GROUP,"TM MARINE GROUP, STAR CUSTOM",Trailer,UNITED STATES (USA)
154,15290,PARIS CUSTOM TRAILERS,PARIS,Trailer,UNITED STATES (USA)
159001,13542,FIVE STAR CUSTOM TRAILER,,Trailer,UNITED STATES (USA)
15C,4452,"MCT INDUSTRIES, INC.","MCT INDUSTRIES, INC.",Trailer,UNITED STATES (USA)
15G,1118,GILLIG LLC,GILLIG,Bus,UNITED STATES (USA)
15R,15505,BOCATS  INC,BOCATS,Trailer,UNITED STATES (USA)
15U,15376,"TRAILBOSS, INC",TRAILBOSS BOAT TRAILERS INC,Trailer,UNITED STATES (USA)
15V,15216,LANDMARK INDUSTRIES INC.,LANDMARK,Trailer,UNITED STATES (USA)
15X,16370,"KAUFMAN TRAILERS OF NC, INC.",KAUFMAN TRAILERS OF NC,Trailer,UNITED STATES (USA)
166,15255,"MCCULLOUGH ALUMINUM TRAILER CO., INC",MCCULLOUGH,Trailer,UNITED STATES (USA)
169002,17669,"6 & 34 TRAILERS & MFG, INC.",,Trailer,UNITED STATES (USA)
16C,23457,CLENET COACHWORKS,CLENET COACHWORKS,Passenger Car,UNITED STATES (USA)
16D,15445,BOSS EQUIPMENT CO.,BOSS EQUIPMENT TRAILER,Trailer,UNITED STATES (USA)
16F,4720,CARRIAGE INC.,CARRIAGE,Trailer,UNITED STATES (USA)
16G,16129,"GOOSENECK TRAILER MFG. CO, INC","GOOSENECK TRAILER MFG.,CO, INC",Trailer,UNITED STATES (USA)
16J,10945,"BELSHE INDUSTRIES, INC. DBA DURABUILT TRAILERS",BELSHE INDUSTRIES,Trailer,UNITED STATES (USA)
16M,4461,MGS INCORPORATED,MGS INCORPARATED,Trailer,UNITED STATES (USA)
16R,15308,PYRAMID MANUFACTURING COMPANY,PYRAMID,Trailer,UNITED STATES (USA)
16S,4720,CARRIAGE INC.,CARRIAGE,Trailer,UNITED STATES (USA)
16U,1939,1ST CHOICE MANUFACTURING INC,1ST CHOICE MANUFACTURING INC,Trailer,UNITED STATES (USA)
16V,9132,"BIG TEX TRAILER MANUFACTURING, LLC",BIG TEX,Trailer,UNITED STATES (USA)
16W,2208,CERTIFIED STAINLESS SERVICES INC DBA WESTMARK,WEST-MARK,Trailer,UNITED STATES (USA)
171,18322,"HYDRA-SPORTS, INC.","HYDRA-SPORTS, INC.",Trailer,UNITED STATES (USA)
173,11513,"R & R TRAILERS, INC.",LONG NECK TRAILERS,Trailer,UNITED STATES (USA)
176,15460,"CUSTOM HAUL, INC",CUSTOM HAUL,Trailer,UNITED STATES (USA)
177,16123,GOLDEN AGE AUTO CORP,FORD,Passenger Car,UNITED STATES (USA)
179446,1517,OREGON TRAILER LLC,,Trailer,UNITED STATES (USA)
17E,16274,MEARS WELDING & MFG CORP,VALLEY TRAILERS,Trailer,UNITED STATES (USA)
17J,1061,OWOSSO MOTOR CAR COMPANY,OWOSSO,Motorcycle,UNITED STATES (USA)
17N,15751,JOHN DEERE WATERLOO WORKS,JOHN DEERE,Incomplete Vehicle,UNITED STATES (USA)
17X,3035,DOUG BRAGG INC.DBA TEXAS BRAGG ENTERPRISES,TEXAS BRAGG ENTERPRISES,Trailer,UNITED STATES (USA)
17Y,9060,"AMERITRAIL, INC.","AMERITRAIL, INC.",Trailer,UNITED STATES (USA)
184,11613,EAGLE TRAILER MANUFACTURING,EAGLE TRAILER MANUFACTURING,Trailer,UNITED STATES (USA)
185,15424,AMERICAN BOS CORPORATION,AMERICAN BOS CORP,Trailer,UNITED STATES (USA)
186,10097,KARAVAN TRAILERS INC.,KARAVAN TRAILER,Trailer,UNITED STATES (USA)
188,15372,THOMSEN EQUIPMENT,THOMSEN,Trailer,UNITED STATES (USA)
18D,15476,DRI INDUSTRIES INC,SIX WHEEL WONDER,Trailer,UNITED STATES (USA)
18F,15451,CATALINA MARINA,CATALINA MARINA,Trailer,UNITED STATES (USA)
18G,5925,SHELLER-GLOBE CORPORATION,SHELLER-GLOBE CORPORATION,Trailer,UNITED STATES (USA)
18L,3410,"THE LONDONCOACH COMPANY, INCORPORATED",LONDONCOACH INC,Passenger Car,UNITED STATES (USA)
18S,15338,"SNO BIRD TRAILER CO., INC",SNO-BIRD,Trailer,UNITED STATES (USA)
18X,11243,"WESTERN RECREATIONAL VEHICLES, INC.","WESTERN RECREATIONAL VEHICLES, INC.",Trailer,UNITED STATES (USA)
18Y,3011,"ROGUE INDUSTRIES, INC.","ROGUE INDUSTRIES, INC.",Trailer,UNITED STATES (USA)
197,15204,KROSS KOUNTRY INDUSTRIES,KROSS KOUNTRY,Trailer,UNITED STATES (USA)
198,15488,FIRST PRODUCTS INC.,FIRST PRODUCTS INC,Trailer,UNITED STATES (USA)
19B,13369,B & M MANUFACTURING COMPANY,B & M MANUFACTURING,Trailer,UNITED STATES (USA)
19D,10600,SKYLINE CORPORATION,SKYLINE CORPORATION,Trailer,UNITED STATES (USA)
19E,10600,SKYLINE CORPORATION,SKYLINE CORPORATION,Trailer,UNITED STATES (USA)
19F,4720,CARRIAGE INC.,ROYALS,Trailer,UNITED STATES (USA)
19L,13376,"HY-LINE ENTERPRISES HOLDINGS, LLC",HY-LINE ENTERPRISES,Trailer,UNITED STATES (USA)
19M,8433,MASTERCRAFT BOAT COMPANY,MASTERCRAFT BOAT COMPANY,Trailer,UNITED STATES (USA)
19T,4720,CARRIAGE INC.,ROYALS,Trailer,UNITED STATES (USA)
19U,988,"AMERICAN HONDA MOTOR CO., INC.",ACURA,Passenger Car,UNITED STATES (USA)
19V,988,"AMERICAN HONDA MOTOR CO., INC.",ACURA,Passenger Car,UNITED STATES (USA)
19X,988,"AMERICAN HONDA MOTOR CO., INC.",HONDA,Passenger Car,UNITED STATES (USA)
19Z,17039,ULTRA ACQUISITION CORPORATION,ULTRA ACQUISITION CORPORATION,Motorcycle,UNITED STATES (USA)
1A0,16114,ART ROLL TECH,ART ROLL TECH,Trailer,UNITED STATES (USA)
1A2,994,FCA US LLC,CHRYSLER,Incomplete Vehicle,UNITED STATES (USA)
1A3,994,FCA US LLC,CHRYSLER,Truck,UNITED STATES (USA)
1A4,994,FCA US LLC,CHRYSLER,Multipurpose Passenger Vehicle (MPV),UNITED STATES (USA)
1A6,994,FCA US LLC,CHRYSLER,Incomplete Vehicle,UNITED STATES (USA)
1A7,994,FCA US LLC,CHRYSLER,Truck,UNITED STATES (USA)
1A8,994,FCA US LLC,CHRYSLER,Multipurpose Passenger Vehicle (MPV),UNITED STATES (USA)
1A9005,5054,CLEAN HARBORS ENVIRONMENTAL SERVICES INC,,Trailer,UNITED STATES (USA)
1A9013,15429,AMERICAN SKIER BOAT CORPORATION,,Trailer,UNITED STATES (USA)
1A9014,21727,"ALLEN CAMPER MANUFACTURING COMPANY, INC.",,Trailer,UNITED STATES (USA)
1A9050,13206,"AINLEY KENNELS & FABRICATION, INC.",,Trailer,UNITED STATES (USA)
1A9055,16107,ANAHEIM WELDING AND FABRICATION,,Trailer,UNITED STATES (USA)
1A9064,16105,ASHFORD MANUFACTURING COMPANY,,Trailer,UNITED STATES (USA)
1A9082,16236,ADMIRATION HOMES INC,,Trailer,UNITED STATES (USA)
1A9084,15430,ANDERSON TRUCK BODY AND EQUIPMENT,,Trailer,UNITED STATES (USA)
1A9085,4422,A. B. CHANCE COMPANY PITMAN MFG.,,Trailer,UNITED STATES (USA)
1A9087,10763,AUTO TRUCK INC.,,Trailer,UNITED STATES (USA)
1A9090,15425,"AMERICAN FABRICATORS, INC",,Trailer,UNITED STATES (USA)
1A9097,15434,ATLANTA FABRICATING AND EQUIPMENT CO.,,Truck,UNITED STATES (USA)
1A9099,17199,ATLAS MANUFACTURING CO. INC,,Trailer,UNITED STATES (USA)
1A9100,15433,ARLINGTON POWER SYSTEMS,,Trailer,UNITED STATES (USA)
1A9103,15435,"AUTOMATED ENGINEERING SYSTEMS, INC",,Trailer,UNITED STATES (USA)
1A9105,17982,ASHCAN FAB. CO.,,Trailer,UNITED STATES (USA)
1A9110,16108,ACE WELDING CO.,,Trailer,UNITED STATES (USA)
1A9114,4406,A & R CUSTOM TRAILERS,,Trailer,UNITED STATES (USA)
1A9117,15219,LEITNER CORPORATION,,Motorcycle,UNITED STATES (USA)
1A9121,15439,"ARTHUR L. BAKER ENTERPRISES, INC",,Trailer,UNITED STATES (USA)
1A9122,16273,AEROTEK INC,,Trailer,UNITED STATES (USA)
1A9123,15420,AMERICAN TRAILERS AND SADDLE CO,,Trailer,UNITED STATES (USA)
1A9125,4561,ART'S PORTABLE WELDING,,Trailer,UNITED STATES (USA)
1A9127,5134,"APEX MANUFACTURING CO., INC.",,Trailer,UNITED STATES (USA)
1A9130,16103,A BAR K TRAILERS,,Trailer,UNITED STATES (USA)
1A9131,16106,ASPHALT MACHINERY INC,,Trailer,UNITED STATES (USA)
1A9132,17707,AMERICAN HITCH & MFG COMPANY,,Trailer,UNITED STATES (USA)
1A9133,8620,"CUSTOM TRIKES, INC. (TRIKES & ACCESSORIES INC.)",,Trailer,UNITED ARAB EMIRATES
1A9134,17346,"CROSLEY TRAILERS, STROUDSBURG",,Trailer,UNITED STATES (USA)
1A9142,16793,"ALCAN TRAVELER, INC",,Trailer,UNITED STATES (USA)
1A9143,16194,ACV INC,,Trailer,UNITED STATES (USA)
1A9147,17907,ARCHER MANUFACTURING CORPORATION,,Trailer,UNITED STATES (USA)
1A9149,17989,"DIMENSIONAL HOMES, INC.",,Trailer,UNITED STATES (USA)
1A9157,10016,"ADDCO, INC.",,Trailer,UNITED STATES (USA)
1A9158,8620,"CUSTOM TRIKES, INC. (TRIKES & ACCESSORIES INC.)",,Motorcycle,UNITED STATES (USA)
1A9163,18139,AURORA MODULAR INDUSTRIES,,Trailer,UNITED STATES (USA)
1A9164,17774,ALPHA TANK BUILDERS,,Trailer,UNITED STATES (USA)
1A9165,18262,"A-N-S MANUFACTURING, INC.",,Trailer,UNITED STATES (USA)
1A9169,18254,ACE TRUCK BODY CO.,,Trailer,UNITED STATES (USA)
1A9172,18110,ANDREWS EQUIPMENT SERVICE OF WASHINGTON INC.,,Trailer,UNITED STATES (USA)
1A9176,17771,AMERICAN TRAILER COMPANY,,Trailer,UNITED STATES (USA)
1A9181,17727,AMKO SERVICE COMPANY,,Trailer,UNITED STATES (USA)
1A9185,17993,"AUCTIONEERING SYSTEMS, INC.",,Trailer,UNITED STATES (USA)
1A9188,17891,ASH COMPANY OF MOUNTAIN LAKE,,Trailer,UNITED STATES (USA)
1A9190,4851,ALLIED WELDING SERVICES,,Trailer,UNITED STATES (USA)
1A9198,18369,"AMERICAN WOOD SPLITTERS, INC.",,Trailer,UNITED STATES (USA)
1A9200,13125,AUTOMATED WASTE EQUIPMENT CO INC,,Trailer,UNITED STATES (USA)
1A9206,16652,"AGRI-MART, INC",,Trailer,UNITED STATES (USA)
1A9211,5274,ARNDT TRAILER MANUFACTURING,,Trailer,UNITED STATES (USA)
1A9220,18160,"IBEX INDUSTRIES, INC.",,Trailer,UNITED STATES (USA)
1A9223,17235,AERO FIBERGLASS CO.,,Trailer,UNITED STATES (USA)
1A9225,17799,"ARNING INDUSTRIES, INC.",,Trailer,UNITED STATES (USA)
1A9229,16670,"A.P.E, INC",,Trailer,UNITED STATES (USA)
1A9230,17924,ADVANCED TRANSPORT TECHNOLOGIES INC.,,Trailer,UNITED STATES (USA)
1A9232,18165,"ABTEC OF WISCONSIN, INC.",,Trailer,UNITED STATES (USA)
1A9234,4856,ALLVAN CORPORATION,,Trailer,UNITED STATES (USA)
1A9236,17927,A. BERGMAN,,Trailer,UNITED STATES (USA)
1A9241,2197,"ALUM-LINE, INC.",,Trailer,UNITED STATES (USA)
1A9244,16618,ADVANCED FABRICATORS INC,,Trailer,UNITED STATES (USA)
1A9245,5198,ATOKA TRAILER & MFG. L.L.C.,,Trailer,UNITED STATES (USA)
1A9246,5131,APC TRUCKING INC. DBA APC EQUIPMENT,,Trailer,UNITED STATES (USA)
1A9247,16714,"ADVANCED CONTAINMENT SYSTEMS, INC",,Trailer,UNITED STATES (USA)
1A9248,16667,ATWOOD TRAILERS,,Trailer,UNITED STATES (USA)
1A9250,18288,"AJAX TOOLS, INC.",,Trailer,UNITED STATES (USA)
1A9251,4828,"ALEWINE MOTORS, INC.",,Trailer,UNITED STATES (USA)
1A9253,16733,THE ALLIED GROUP,,Trailer,UNITED STATES (USA)
1A9256,10572,ABC MANUFACTURING,,Trailer,UNITED STATES (USA)
1A9261,16986,ANTIOCH MANUFACTURING & SALES,,Trailer,UNITED STATES (USA)
1A9270,1969,"AMERI-CAN ENGINEERING, INC.",,Trailer,UNITED STATES (USA)
1A9271,16894,"AMERICAN THUNDER TRYKE, INC.",,Motorcycle,UNITED STATES (USA)
1A9274,19427,TRUCKCORP LLC,,Trailer,UNITED STATES (USA)
1A9275,13097,AGRI DRAIN CORPORATION,,Trailer,UNITED STATES (USA)
1A9277,10953,ACTION EQUIPMENT CO.,,Trailer,UNITED STATES (USA)
1A9285,12792,AZIMUTH INC.,,Trailer,UNITED STATES (USA)
1A9286,16699,AFTER-MARKET SPECIALTIES,,Trailer,UNITED STATES (USA)
1A9288,17730,"IKARUS USA, INC.",,Bus,UNITED STATES (USA)
1A9289,16280,AXIS CORPORATION,,Trailer,UNITED STATES (USA)
1A9294,16803,"AJAX TRAILERS, INC",,Trailer,UNITED STATES (USA)
1A9299,16886,"AUTOMATION SALES, INC",,Trailer,UNITED STATES (USA)
1A9304,5247,"ASTORIA INDUSTRIES, INC.",,Trailer,UNITED STATES (USA)
1A9306,16913,AMERICAN TRAILERS CO,,Trailer,UNITED STATES (USA)
1A9317,4558,ARROWHEAD TRAILERS,,Trailer,UNITED STATES (USA)
1A9318,16888,ABOUT SALES INC,,Trailer,UNITED STATES (USA)
1A9324,17941,AUTO TRANSPORT SERVICE,,Trailer,UNITED STATES (USA)
